Fc(cc1)ccc1S,6.35
Sc1cccc(Cl)c1,5.76
Sc(cc1)ccc1Cl,5.82
Sc(cc1)ccc1Br,5.8
SCc1ccccc1,9.43
Cc(cc1)ccc1S,6.47
OC(COC1=O)=C1O,4.4
CC(CCC1=O)C1=O,9.6
CC(CC=C1O)=C1O,9.11
O=C(CCCC1)C1=O,10.3
Oc(cccc1)c1O,9.33
OC(C1CCCC1)=O,4.99
O=C(CCC1)CC1=O,5.26
Oc1cccc(O)c1,9.56
Oc(cc1)ccc1O,9.93
O=CC(CCC1)C1=O,5.83
[O-]c(cccc1)c1O,11.56
[O-]c1cccc(O)c1,11.32
[O-]c(cc1)ccc1O,11.57
OC(C(C1)C1(Cl)Cl)=O,3.51
OC(C(C1)C1(Br)Br)=O,3.57
O=C(CCC1Cl)C1=O,7.05
OC(c1cscc1)=O,4.03
OC(c1cccs1)=O,3.46
OC(c1ccc[se]1)=O,3.43
OP1(CCCCC1)=O,2.73
O=C(C1)CSCC1=O,4.34
O=C1C=CC=CC=C1,-0.82
OC1C=CC=CC=C1,-7
Cc1cccc(O)c1,10.01
Cc(cc1)ccc1O,10.22
Cc(cccc1)c1O,10.22
CC(C1=CC=CC1)=O,8.84
Oc(cccc1)c1Cl,8.4
Oc(cccc1)c1F,8.81
Oc(cccc1)c1I,8.4
Oc(cccc1)c1Br,8.4
Oc1cccc(Cl)c1,8.96
Oc1cccc(I)c1,9.02
Oc1cccc(Br)c1,8.99
Oc(cc1)ccc1Cl,9.29
Oc(cc1)ccc1F,9.88
Oc(cc1)ccc1I,9.32
Oc(cc1)ccc1Br,9.29
O=C(CCC1=O)C1=O,8.48
OC(CCC1=O)=C1O,4.8
O=C(CC1=O)CC1=O,3
OC(c1ccco1)=O,3.18
OC(c1ccco1)=O,-0.53
OC1(CCC1)C(O)=O,3.88
OC(c1cocc1)=O,-0.59
OC(c1cocc1)=O,3.94
CO[C@@H](C1)[C@@H]1C(O)=O,4.76
CO[C@@H](C1)[C@H]1C(O)=O,4.47
[O-]C(CCC1=O)=C1O,12.9
O=C(COC1=O)C1Cl,2.13
O=C(COC1=O)C1I,2.31
O=C(COC1=O)C1Br,2.23
Cc1nnc(C)n1N,9.85
CCCc1nnn[nH]1,5.61
CC(C)c1nnn[nH]1,5.55
Nc1ccnc(N)n1,7.26
Nc1cncnc1N,9.33
Nc1cncnc1N,6.03
Cc(n1N)nnc1S,7.97
CSc1nc(N)n[nH]1,3.27
Nc(cccc1)c1N,4.43
N[C@H](CCCC1)[C@H]1N,9.84
N[C@@H](CCCC1)[C@H]1N,9.75
Nc1cccc(N)c1,5.04
CN(C=C1)C=CC1=N,12.5
Cc1nccnc1C,2.24
Cc1cnc(C)cn1,1.95
C[C@@H]1NC[C@H](C)NC1,9.98
C[C@H]1NC[C@H](C)NC1,9.76
C[C@](C1)([C@H]1NC)NC,9.05
Cc1cnncc1C,4.13
Cc1c(C)nncc1,4.1
Cc1c(C)[nH]nc1C,4.82
Cc1ccc(C)nn1,3.99
CCc1cccnn1,3.58
Cc1c(C)n(C)nc1,3.58
Cc1cc(C)nn1C,3.96
CN1N(C)CC=CC1,5.7
CN1N(C)CCCC1,6.66
Cc1cnnc(C)c1,4.11
Cc1cn(C)nc1C,3.56
N#Cc1cnccc1,1.48
CNc1cccnc1,6.41
CC([C@@H]1NC)[C@@H]1NC,9.03
C[C@H]([C@H]1NC)[C@@H]1NC,9.13
Cc1cc(C)ncn1,2.7
N#Cc1ncccc1,-0.26
CNc1ncccc1,7.13
CC1=NCCCCN1,12.7
Cc1cccc(N)n1,7.4
CCc1nc(C)c[nH]1,8.5
Cc(cc1)cnc1N,7.22
Cc1cccnc1N,7.24
Cc1cc(N)ncc1,7.48
CCCc1ncc[nH]1,8.02
CCn1c(C)ncc1,8.09
N#Cc1ccncc1,1.91
Nc(cc1)ccc1N,6.16
Cc(cncc1)c1N,9.15
NCc1ccncc1,8.3
NCc1ncccc1,3.5
NCc1ncccc1,8.47
Cc1cncc(C)n1,2.11
C[C@H]1N[C@@H](C)CNC1,9.86
NCc1cccnc1,8.33
Cc1nccc(N)c1,9.44
Nc(cccc1)c1[NH3+],1.3
N[C@@H](CCCC1)[C@H]1[NH3+],6.71
N[C@H](CCCC1)[C@H]1[NH3+],6.35
C[n+](cccc1)c1N,12.2
Nc1cccc([NH3+])c1,2.46
Cc1ncc[nH+]c1C,-4.17
Cc1c[nH+]c(C)cn1,-4.42
C[C@@H]1NC[C@H](C)[NH2+]C1,5.23
C[C@H]1NC[C@H](C)[NH2+]C1,5.29
C[C@](C1)([C@H]1NC)[NH2+]C,5.52
CNc1ccc[nH+]c1,-2.17
CC([C@@H]1NC)[C@@H]1[NH2+]C,5.68
C[C@H]([C@H]1NC)[C@@H]1[NH2+]C,3.68
Nc(cc1)ccc1[NH3+],2.86
Cc1cncc(C)[nH+]1,-4.48
C[C@H]1[NH2+][C@@H](C)CNC1,5.4
[NH3+]Cc1ccncc1,4.05
[NH3+]Cc1ncccc1,3.1
[NH3+]Cc1cccnc1,3.71
[S-]c1ccnc([S-])n1,11.19
[S-]c1ccnc([S-])[nH+]1,6.46
Cc([nH]nc1C)c1Cl,2.23
Nc(ccnc1)c1F,4.77
Nc(ccnc1)c1Br,7.15
Nc(cc1)ncc1Cl,4.83
Cn1c(CS)ncc1,8.88
Cn1c(CS)ncc1,6.31
Cc1cc([S-])[nH+]cn1,1.8
Cc1ccnc([S-])[nH+]1,2.2
Cc1cc([S-])ncn1,7.3
Cc1ccnc([S-])n1,8
